1382591497,mcintyre-805-1__demo-model__demo-lab-b,mcintyre-810-1__demo-model__demo-lab-b,mcintyre-825-1__demo-model__demo-lab-b,mcintyre-815-1__demo-model__demo-lab-b,mcintyre-815-2__demo-model__demo-lab-b,mcintyre-1012-1__demo-model__demo-lab-b,mcintyre-1307-1__demo-model__demo-lab-b,mcintyre-1312-1__demo-model__demo-lab-b,mcintyre-1002-1__demo-model__demo-lab-b,mcintyre-1317-1__demo-model__demo-lab-b,mcintyre-1217-1__demo-model__demo-lab-b,mcintyre-1309-1__demo-model__demo-lab-b,mcintyre-1003-1__demo-model__demo-lab-b,mcintyre-1314-1__demo-model__demo-lab-b,mcintyre-1313-1__demo-model__demo-lab-b,mcintyre-1303-1__demo-model__demo-lab-b,mcintyre-800-2__demo-model__demo-lab-b,mcintyre-800-1__demo-model__demo-lab-b,mcintyre-944-1__demo-model__demo-lab-b
2013-10-30 14:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,525.6643453703704,200.0,650.0,650.0,441.14987939814813,200.0,403.7152583333332,200.0,650.0,582.0694347222221,650.0,650.0
2013-10-30 15:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,526.7783516203705,200.0,650.0,650.0,481.918386574074,200.0,402.54050925925924,200.0,650.0,581.5023050925925,650.0,650.0
2013-10-30 16:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,524.4652777777779,200.0,650.0,650.0,299.2702546296297,200.0,402.5486111111111,200.0,650.0,581.3888791666666,650.0,650.0
2013-10-30 17:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,524.4652777777779,200.0,650.0,650.0,200.0,200.0,402.7430506944443,200.0,650.0,581.3888791666666,650.0,650.0
2013-10-30 18:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,524.4652777777779,200.0,650.0,650.0,200.0,200.0,401.88426736111103,200.0,650.0,581.3888791666666,650.0,650.0
2013-10-30 19:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,524.4328695601852,200.0,650.0,650.0,200.0,200.0,401.9409795138888,200.0,650.0,581.3888791666666,650.0,650.0
2013-10-30 20:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,523.4930506944443,200.0,650.0,650.0,200.0,200.0,402.5810160879629,200.0,650.0,581.3888791666666,650.0,650.0
2013-10-30 21:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,522.9097222222221,200.0,650.0,650.0,200.0,200.0,401.77084305555553,200.0,650.0,581.3888791666666,650.0,650.0
2013-10-30 22:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,522.9097222222221,200.0,650.0,650.0,200.0,200.0,401.77084305555553,200.0,650.0,581.3888791666666,650.0,650.0
2013-10-30 23:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,522.9097222222221,200.0,650.0,650.0,200.0,200.0,401.77084305555553,200.0,650.0,581.3888791666666,650.0,650.0
2013-10-31 00:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,522.9097222222221,200.0,650.0,650.0,200.0,200.0,401.77084305555553,200.0,650.0,581.3888791666666,650.0,650.0
2013-10-31 01:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,522.9097222222221,200.0,650.0,650.0,200.0,200.0,401.77084305555553,200.0,650.0,581.3888791666666,650.0,650.0
2013-10-31 02:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,522.9097222222221,200.0,650.0,650.0,200.0,200.0,401.77084305555553,200.0,650.0,581.3888791666666,650.0,650.0
2013-10-31 03:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,522.9097222222221,200.0,650.0,650.0,200.0,200.0,401.9409795138888,200.0,650.0,581.9560087962963,650.0,650.0
2013-10-31 04:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,522.9097222222221,200.0,650.0,650.0,200.0,200.0,401.77084305555553,200.0,650.0,582.0694347222221,650.0,650.0
2013-10-31 05:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,522.9097222222221,200.0,650.0,650.0,200.0,200.0,401.77084305555553,200.0,650.0,582.0694347222221,650.0,650.0
2013-10-31 06:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,522.9097222222221,200.0,650.0,650.0,200.0,200.0,401.77084305555553,200.0,650.0,582.0694347222221,650.0,650.0
2013-10-31 07:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,522.9097222222221,200.0,650.0,650.0,200.0,200.0,401.77084305555553,200.0,212.14698912037042,582.0694347222221,650.0,650.0
2013-10-31 08:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,523.1041650462961,200.0,650.0,650.0,200.0,200.0,341.90625810185185,200.0,242.4722206018518,582.0694347222221,638.9444444444446,650.0
2013-10-31 09:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,523.0069436342591,200.0,650.0,650.0,200.0,200.0,200.0,200.0,545.9513783564814,582.0694347222221,650.0,650.0
2013-10-31 10:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,527.0254597222222,523.3350678240739,200.0,650.0,650.0,200.0,200.0,200.0,200.0,441.17418819444447,650.0,628.6226940972224,650.0
2013-10-31 11:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,540.1180555555553,523.3472027777779,200.0,650.0,650.0,200.0,200.0,200.0,200.0,567.4536972222223,650.0,555.1875000000001,650.0
2013-10-31 12:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,540.1180555555553,523.3472027777779,200.0,650.0,650.0,200.0,200.0,200.0,200.0,567.6805458333333,650.0,555.1875000000001,650.0
2013-10-31 13:00:00-05:00,200.0,650.0,650.0,650.0,602.4131831018518,650.0,540.1180555555553,524.0237146990739,200.0,650.0,650.0,200.0,200.0,200.0,200.0,570.281232175926,650.0,555.1875000000001,650.0
2013-10-31 14:00:00-05:00,200.0,650.0,650.0,650.0,593.0555555555557,650.0,540.1180555555553,525.1012723379629,200.0,650.0,650.0,200.0,200.0,200.0,200.0,569.0659673611112,650.0,555.1875000000001,650.0
2013-10-31 15:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,540.1180555555553,525.3483788194444,200.0,650.0,650.0,200.0,200.0,200.0,200.0,569.2968555555558,650.0,555.1875000000001,650.0
2013-10-31 16:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,540.1180555555553,523.6712962962961,200.0,650.0,650.0,200.0,200.0,200.0,200.0,568.7662037037036,650.0,555.1875000000001,650.0
2013-10-31 17:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,540.1180555555553,522.9097222222221,200.0,650.0,650.0,200.0,200.0,200.0,200.0,568.9444444444443,650.0,571.6464104166668,650.0
