fumehood,,flow,open
ottomaass-230-16__mcgill-standard__otto-mass-119-230,std,1786.9305530978795,6.27430277734156
ottomaass-230-16__mcgill-standard__otto-mass-119-230,min,90.0,18.324999
ottomaass-230-16__mcgill-standard__otto-mass-119-230,25%,98.0,19.6
ottomaass-230-16__mcgill-standard__otto-mass-119-230,50%,99.0,19.6
ottomaass-230-16__mcgill-standard__otto-mass-119-230,75%,99.0,21.25
ottomaass-230-16__mcgill-standard__otto-mass-119-230,max,65535.0,76.639999
ottomaass-230-17__mcgill-standard__otto-mass-119-230,count,2703.0,2774.0
ottomaass-230-17__mcgill-standard__otto-mass-119-230,mean,150.00517943026267,30.432612553712932
ottomaass-230-17__mcgill-standard__otto-mass-119-230,std,1779.601491490436,4.35971313663756
ottomaass-230-17__mcgill-standard__otto-mass-119-230,min,92.0,20.02
ottomaass-230-17__mcgill-standard__otto-mass-119-230,25%,98.0,28.039998999999998
ottomaass-230-17__mcgill-standard__otto-mass-119-230,50%,99.0,30.23
ottomaass-230-17__mcgill-standard__otto-mass-119-230,75%,99.0,33.125
ottomaass-230-17__mcgill-standard__otto-mass-119-230,max,65535.0,55.48
ottomaass-230-18__mcgill-standard__otto-mass-119-230,count,2.0,0.0
ottomaass-230-18__mcgill-standard__otto-mass-119-230,mean,0.0,
ottomaass-230-18__mcgill-standard__otto-mass-119-230,std,0.0,
ottomaass-230-18__mcgill-standard__otto-mass-119-230,min,0.0,
ottomaass-230-18__mcgill-standard__otto-mass-119-230,25%,0.0,
ottomaass-230-18__mcgill-standard__otto-mass-119-230,50%,0.0,
ottomaass-230-18__mcgill-standard__otto-mass-119-230,75%,0.0,
ottomaass-230-18__mcgill-standard__otto-mass-119-230,max,0.0,
ottomaass-230-19__mcgill-standard__otto-mass-119-230,count,2693.0,2760.0
ottomaass-230-19__mcgill-standard__otto-mass-119-230,mean,163.2573338284441,14.054345652898606
ottomaass-230-19__mcgill-standard__otto-mass-119-230,std,1261.8781620229279,7.320534716970038
ottomaass-230-19__mcgill-standard__otto-mass-119-230,min,92.0,6.02
ottomaass-230-19__mcgill-standard__otto-mass-119-230,25%,98.0,8.184999000000001
ottomaass-230-19__mcgill-standard__otto-mass-119-230,50%,99.0,10.0
ottomaass-230-19__mcgill-standard__otto-mass-119-230,75%,166.0,22.4575
ottomaass-230-19__mcgill-standard__otto-mass-119-230,max,65535.0,34.934998
